date,mtgox,btc-e,bitstamp,btcchina
2013-11-01 00:55:00 +0800,1284.36,1187.42,1221.35,1261.59
2013-11-01 01:55:00 +0800,1284.42,1188.93,1226.83,1260.0
2013-11-01 02:55:00 +0800,1293.45,1195.69,1225.26,1265.0
2013-11-01 03:55:00 +0800,1299.82,1197.31,1234.67
2013-11-01 04:55:00 +0800,1288.24,1195.0,1225.68,1263.34
2013-11-01 05:55:00 +0800,1278.64,1195.22,1226.36,1265.34
2013-11-01 06:55:00 +0800,1284.88,1198.08,1232.41,1264.1
2013-11-01 07:55:00 +0800,1289.65,1201.82,1231.66,1266.5
2013-11-01 08:55:00 +0800,1280.8,1196.85,1223.78,1264.23
2013-11-01 09:55:00 +0800,1281.75,1196.1,1230.59,1266.19
2013-11-01 10:55:00 +0800,1285.45,1194.45,1223.8,1266.85
2013-11-01 11:55:00 +0800,1284.72,1198.49,1227.32,1266.9
2013-11-01 12:55:00 +0800,1278.62,1193.13,1223.96,1264.47
2013-11-01 13:55:00 +0800,1278.64,1190.11,1223.54,1264.27
2013-11-01 14:55:00 +0800,1284.78,1192.44,1220.42,1265.09
2013-11-01 15:55:00 +0800,1288.96,1194.45,1230.1,1267.0
2013-11-01 16:55:00 +0800,1290.78,1199.61,1230.74,1268.05
2013-11-01 17:55:00 +0800,1293.81,1195.99,1229.62,1267.12
2013-11-01 18:55:00 +0800,1293.4,1199.75,1229.56,1267.05
2013-11-01 19:55:00 +0800,1296.23,1200.27,1226.07,1265.19
2013-11-01 20:55:00 +0800,1290.67,1200.77,1223.46,1267.3
2013-11-01 21:55:00 +0800,1284.13,1198.91,1227.25,1266.75
2013-11-01 22:55:00 +0800,1284.11,1198.06,1225.24,1267.1
2013-11-01 23:55:00 +0800,1296.84,1201.65,1228.36,1267.74
2013-11-02 00:55:00 +0800,1302.56,1202.16,,1266.72
2013-11-02 01:55:00 +0800,1288.0,1201.49,1230.84,1267.35
2013-11-02 02:55:00 +0800,1290.02,1199.82,1229.73
2013-11-02 03:55:00 +0800,1291.44,1198.85,1229.64
2013-11-02 04:55:00 +0800,1295.93,1201.35,1229.97
2013-11-02 05:55:00 +0800,1295.9,1203.4,1231.8
2013-11-02 06:55:00 +0800,1293.81,1205.9,1230.18,1274.75
2013-11-02 07:55:00 +0800,1293.81,1205.75,1226.59,1271.03
2013-11-02 08:55:00 +0800,,1201.23,1225.15,1270.25
2013-11-02 09:55:00 +0800,1293.78,1205.73,1231.39,1270.36
2013-11-02 10:55:00 +0800,1296.17,1204.78,1230.39,1271.61
2013-11-02 11:55:00 +0800,1296.16,1205.83,1232.11,1270.9
2013-11-02 12:55:00 +0800,1293.78,1206.38,1236.07,1276.61
2013-11-02 13:55:00 +0800,1296.2,1208.97,1239.27,1279.69
